timestamp,primary,secondary,video_id,video_title,video_url,decision,reason,segments_created
2026-05-27 18:47:39,DailyLife,InspirationRecord,2igfLjjBuZw,O estranho caso da vida confortável e sem sentido | Emanuel Aragão | TEDxSaoPaulo,https://www.youtube.com/watch?v=2igfLjjBuZw,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
2026-05-27 18:49:37,DailyLife,InspirationRecord,C38xlWnkezQ,Como a IA vai mudar tudo (inclusive você) | Miguel Fernandes | TEDxSaoPaulo,https://www.youtube.com/watch?v=C38xlWnkezQ,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
2026-05-27 18:51:24,DailyLife,InspirationRecord,IjAdrJi-1hA,Sucesso ou realização: o caminho para a felicidade | Priscila Fantin | TEDxBeloHorizonte,https://www.youtube.com/watch?v=IjAdrJi-1hA,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
2026-05-27 18:52:35,DailyLife,InspirationRecord,UMxSHX712qo,Finanças pessoais em 20 minutos  | Eduardo Feldberg | TEDxJacareí,https://www.youtube.com/watch?v=UMxSHX712qo,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
2026-05-27 18:53:27,DailyLife,InspirationRecord,JeE1gIKD5VU,Educação financeira - É possível se reerguer do zero | Késia Prates | TEDxGovernadorValadares,https://www.youtube.com/watch?v=JeE1gIKD5VU,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
2026-05-27 18:55:12,DailyLife,InspirationRecord,jWoiizCh8MQ,Suba no seu caixote e mostre quem você é | Mônica Martelli | TEDxSaoPaulo,https://www.youtube.com/watch?v=jWoiizCh8MQ,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
2026-05-27 18:56:20,DailyLife,InspirationRecord,kap-JhoGkcY,Normalidade: O que é estar bem na era do adoecimento mental  | Manoel Vicente De Barros | TEDxCuiabá,https://www.youtube.com/watch?v=kap-JhoGkcY,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
2026-05-27 18:57:56,DailyLife,InspirationRecord,Llq-hvuAM7g,VOCÊ ESTÁ ONDE VOCÊ MERECE ESTAR  | GREICE JOVIANE | TEDxJardimdos Seixas,https://www.youtube.com/watch?v=Llq-hvuAM7g,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
2026-05-27 18:59:53,DailyLife,InspirationRecord,32ipTmPO8pA,Quando você decidiu que estava velho para conquistar seus sonhos? | Carol Gattaz | TEDxBeloHorizonte,https://www.youtube.com/watch?v=32ipTmPO8pA,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
2026-05-27 19:01:12,DailyLife,InspirationRecord,xXH44I-31mA,Leve o coração para o trabalho | João Branco | TEDxBeloHorizonte,https://www.youtube.com/watch?v=xXH44I-31mA,DOWNLOADED_SEGMENTED,Matched keyword: tedx,5
